2025-08-21 13:47:42.015 UTC [10830] LOG:  checkpoint starting: time
2025-08-21 13:47:42.045 UTC [10830] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.007 s, sync=0.002 s, total=0.031 s; sync files=2, longest=0.001 s, average=0.001 s; distance=0 kB, estimate=0 kB; lsn=0/1B671C28, redo lsn=0/1B671BD0
2025-08-21 19:07:48.460 UTC [10830] LOG:  checkpoint starting: time
2025-08-21 19:07:48.895 UTC [10830] LOG:  checkpoint complete: wrote 5 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.413 s, sync=0.005 s, total=0.436 s; sync files=5, longest=0.004 s, average=0.001 s; distance=3 kB, estimate=3 kB; lsn=0/1B6729E8, redo lsn=0/1B672990
2025-08-21 19:12:48.993 UTC [10830] LOG:  checkpoint starting: time
2025-08-21 19:12:49.414 UTC [10830] LOG:  checkpoint complete: wrote 5 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.403 s, sync=0.007 s, total=0.421 s; sync files=5, longest=0.006 s, average=0.002 s; distance=2 kB, estimate=3 kB; lsn=0/1B673598, redo lsn=0/1B673508
2025-08-21 19:18:44.132 UTC [10829] LOG:  received fast shutdown request
2025-08-21 19:18:44.138 UTC [10829] LOG:  aborting any active transactions
2025-08-21 19:18:44.140 UTC [133948] FATAL:  terminating connection due to administrator command
2025-08-21 19:18:44.141 UTC [61101] FATAL:  terminating connection due to administrator command
2025-08-21 19:18:44.141 UTC [10829] LOG:  background worker "logical replication launcher" (PID 10835) exited with exit code 1
2025-08-21 19:18:44.143 UTC [10830] LOG:  shutting down
2025-08-21 19:18:44.145 UTC [10830] LOG:  checkpoint starting: shutdown immediate
2025-08-21 19:18:44.156 UTC [10830] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.001 s, total=0.013 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=3 kB; lsn=0/1B673648, redo lsn=0/1B673648
2025-08-21 19:18:44.164 UTC [10829] LOG:  database system is shut down
2025-08-22 09:46:06.031 UTC [68821] LOG:  starting PostgreSQL 17.4 on x86_64-pc-linux-gnu, compiled by gcc (GCC) 15.1.1 20250425, 64-bit
2025-08-22 09:46:06.032 UTC [68821] LOG:  listening on IPv6 address "::1", port 5432
2025-08-22 09:46:06.032 UTC [68821] LOG:  listening on IPv4 address "127.0.0.1", port 5432
2025-08-22 09:46:06.034 UTC [68821] LOG:  listening on Unix socket "/tmp/.s.PGSQL.5432"
2025-08-22 09:46:06.043 UTC [68824] LOG:  database system was shut down at 2025-08-21 19:18:44 UTC
2025-08-22 09:46:06.052 UTC [68821] LOG:  database system is ready to accept connections
2025-08-22 09:46:24.021 UTC [69082] WARNING:  database "bh" has a collation version mismatch
2025-08-22 09:46:24.021 UTC [69082] DETAIL:  The database was created using collation version 2.41, but the operating system provides version 2.42.
2025-08-22 09:46:24.021 UTC [69082] HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE bh REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-08-22 09:46:24.075 UTC [69085] WARNING:  database "bh" has a collation version mismatch
2025-08-22 09:46:24.075 UTC [69085] DETAIL:  The database was created using collation version 2.41, but the operating system provides version 2.42.
2025-08-22 09:46:24.075 UTC [69085] HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE bh REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-08-22 09:47:06.117 UTC [69445] WARNING:  database "bh" has a collation version mismatch
2025-08-22 09:47:06.117 UTC [69445] DETAIL:  The database was created using collation version 2.41, but the operating system provides version 2.42.
2025-08-22 09:47:06.117 UTC [69445] HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE bh REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-08-22 09:48:06.186 UTC [69918] WARNING:  database "bh" has a collation version mismatch
2025-08-22 09:48:06.186 UTC [69918] DETAIL:  The database was created using collation version 2.41, but the operating system provides version 2.42.
2025-08-22 09:48:06.186 UTC [69918] HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE bh REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-08-22 09:49:06.245 UTC [70480] WARNING:  database "bh" has a collation version mismatch
2025-08-22 09:49:06.245 UTC [70480] DETAIL:  The database was created using collation version 2.41, but the operating system provides version 2.42.
2025-08-22 09:49:06.245 UTC [70480] HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE bh REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-08-22 09:50:06.297 UTC [71003] WARNING:  database "bh" has a collation version mismatch
2025-08-22 09:50:06.297 UTC [71003] DETAIL:  The database was created using collation version 2.41, but the operating system provides version 2.42.
2025-08-22 09:50:06.297 UTC [71003] HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE bh REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-08-22 09:51:06.130 UTC [68822] LOG:  checkpoint starting: time
2025-08-22 09:51:06.157 UTC [68822] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.008 s, sync=0.004 s, total=0.028 s; sync files=2, longest=0.003 s, average=0.002 s; distance=0 kB, estimate=0 kB; lsn=0/1B673750, redo lsn=0/1B6736F8
2025-08-22 09:51:06.354 UTC [72076] WARNING:  database "bh" has a collation version mismatch
2025-08-22 09:51:06.354 UTC [72076] DETAIL:  The database was created using collation version 2.41, but the operating system provides version 2.42.
2025-08-22 09:51:06.354 UTC [72076] HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE bh REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-08-22 09:52:06.412 UTC [73146] WARNING:  database "bh" has a collation version mismatch
